Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, Chronological Files, OA/ID CF01534-026, July 1991 [1].
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, Chronological Files, OA/ID CF01534-027, July 1991 [2].
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, Chronological Files, OA/ID CF01534-028, July 1991 [3].
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, Chronological Files, OA/ID CF01534-029, July 1991 [4].
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, Chronological Files, OA/ID CF01535-001, January 1990 [1].
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, Chronological Files, OA/ID CF01535-002, January 1990 [2].
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, Chronological Files, OA/ID CF01535-003, January 1990 [3].
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, Chronological Files, OA/ID CF01535-004, February 1990 [1].
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, Chronological Files, OA/ID CF01535-005, February 1990 [2].
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, Chronological Files, OA/ID CF01535-006, February 1990 [3].
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, Chronological Files, OA/ID CF01535-007, February 1990 [4].
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, Chronological Files, OA/ID CF01535-008, March 1990 [1].
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, Chronological Files, OA/ID CF01535-009, March 1990 [2].
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, Chronological Files, OA/ID CF01535-010, March 1990 [3].
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, Chronological Files, OA/ID CF01535-011, March 1990 [4].
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, Chronological Files, OA/ID CF01535-012, April 1990 [1].
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, Chronological Files, OA/ID CF01535-013, April 1990 [2].
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, Chronological Files, OA/ID CF01535-014, April 1990 [3].
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, Chronological Files, OA/ID CF01535-015, April 1990 [4].
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, Chronological Files, OA/ID CF01535-016, April 1990 [5].
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, Chronological Files, OA/ID CF01535-017, April 1990 [6].
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, Chronological Files, OA/ID CF01535-018, April 1990 [7].
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, Chronological Files, OA/ID CF01535-019, April 1990 [8].
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, Chronological Files, OA/ID CF01535-020, May 1990 [1].
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, Chronological Files, OA/ID CF01535-021, May 1990 [2].
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, Chronological Files, OA/ID CF01535-022, May 1990 [3].
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, Chronological Files, OA/ID CF01535-023, May 1990 [4].
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, Chronological Files, OA/ID CF01537-001, August 1991.
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, Chronological Files, OA/ID CF01537-002, September 1991 [1].
